"34_S125","49_S126","53_S94","90_S119","10_S57","24_S38","29_S90","7_S29","43_S61","28_S115","12_S37","59_S87","30_S109","55_S66","22_S84","9_S69","93_S107","81_S130","75_S140","19_S58","57_S127","27_S49","71_S129","66_S102","64_S72","70_S96","23_S28","84_S104","5_S32","16_S69","88_S62","77_S112","65_S91","58_S71","91_S132","79_S46","48_S70","56_S138","95_S27","32_S134","349_S78","297_S34","284_S100","272_S64","353_S151","276_S121","326_S81","300_S50","334_S77","340_S143","266_S86","330_S93","313_S65","338_S142","351_S47","282_S133","323_S54","332_S82","347_S88","307_S80","309_S141","321_S24","292_S108","319_S40","310_S67","270_S113","279_S114","328_S60","317_S25","294_S122"
"hsa-let-7a-3p",0.158501997489614,0.0731911698164215,-1.83880688453542e-16,9.0205620750794e-17,0.411233899840269,-0.483501881254653,-0.261081666470966,0.240146860925057,-0.115382816364051,0.936284428287289,7.80625564189563e-16,0.239801498282395,-0.0613579680343534,1.21430643318376e-16,-1.21430643318376e-16,-2.04697370165263e-16,0.471825178564665,-0.318828196702585,-0.551415753527872,-0.210877160495637,0.248786463986143,-0.397235530069163,0.0573528576621446,4.5102810375397e-17,1.00613961606655e-16,0.458675924862727,0.363896834689381,-0.232454378144689,-0.363896834689382,0.304148629657964,-0.0188858985061437,0.442442347703845,-9.36750677027476e-17,-0.715382529498234,-0.2107435120937,-0.334664060821973,-0.107328692342989,0.0445958847752775,-0.346577103214115,-0.0609279706167315,0.856224726656931,-0.240146860925057,1.56125112837913e-16,-0.645347566161296,-0.243347521795037,-0.290190183751766,-3.81639164714898e-17,0.483501881254652,-3.81639164714898e-17,0.103347054710999,1.00613961606655e-16,-0.239801498282394,-3.01841884819964e-16,-0.869341153861225,1.38777878078145e-17,-0.215854855151758,0.174673461749636,0.0188858985061437,-0.458675924862727,-0.637970976687436,0.140000467084038,7.94503351997378e-16,-0.2254433337685,0,0.637970976687436,0.229083992836909,1.56125112837913e-16,0.619947038776203,0.506567702286453,0.635574651001841
"hsa-let-7a-5p",-0.126539810609133,-0.682262002061123,1.12757025938492e-16,7.45931094670027e-17,0.224849261045845,-0.169756887916896,-0.104836908175689,-0.0272345038287862,0.256755857962902,0.0125893539207581,3.27862736959617e-16,-0.087583882486705,-0.458349978135879,2.94902990916057e-17,7.11236625150491e-17,-1.21430643318376e-17,-0.0140148097592898,0.0374626034947239,-0.0501826803924074,-0.424151297812274,0.205221397408591,-0.418106885015812,-0.338942553265103,2.25514051876985e-17,6.33174068731535e-16,-0.0620422476640963,-0.0731359309147274,0.15272551005322,0.0731359309147273,-0.144234335494718,-0.103566024401475,-0.110834142240854,-2.89698820488127e-16,-0.0806149255511285,0.118851717934979,-0.0241381124998971,-0.250009074690368,0.0396896743386857,0.155297396677083,-0.397636581800496,-0.0602794964298018,0.0272345038287859,1.196959198424e-16,0.484430794242076,0.269793664745789,0.42125952483737,-3.29597460435593e-17,0.169756887916896,6.41847686111419e-17,-0.334408304196336,-5.20417042793042e-18,0.0875838824867051,-8.84708972748172e-17,0.282649910087655,1.94289029309402e-16,0.465482363874236,-0.0689456671406427,0.103566024401475,0.0620422476640966,0.470855324653416,0.0646146394505472,8.67361737988404e-18,0.371836619464607,-3.29597460435593e-17,-0.470855324653416,0.253811116446475,8.67361737988404e-18,0.411360101743278,-0.0622136170365431,-0.0779803254213268
"hsa-let-7b-3p",-0.715399868018447,0.223549629820334,-1.38777878078145e-16,-2.77555756156289e-17,0.589320249162497,-0.353242782928982,-1.26872640179548,-0.389640748229515,-0.474383972437248,0.251400285359539,2.91433543964104e-16,-0.0797300227871067,-0.749868602870939,1.80411241501588e-16,-9.71445146547012e-17,-5.41233724504764e-16,0.323707313567576,-0.0564294810159069,0.399332634619545,-0.328371477233849,0.247615558591945,-0.387989980009534,0.525499943611071,1.38777878078145e-17,9.85322934354826e-16,0.545167202526553,0.115589875148999,0.246109126748634,-0.115589875148999,-0.169610723057137,-0.330619278979679,-0.123755770284505,-6.93889390390723e-17,-0.41970952610536,0.945019088227901,-0.110628301507734,-0.295399968469279,-0.0914088733379662,-0.0398496757230591,-0.402315812002613,0.82188098624087,0.389640748229514,1.80411241501588e-16,-0.493509509007022,-0.0572901751195833,0.0377516381066785,2.63677968348475e-16,0.353242782928982,-3.7470027081099e-16,-0.268470573776395,9.71445146547012e-17,0.079730022787107,-2.08166817117217e-16,-0.399229063987463,-6.93889390390723e-17,0.189899924407377,-0.0282341584226821,0.330619278979679,-0.545167202526553,-0.0698396633885804,0.325760748895979,-1.04083408558608e-15,-0.137545497642507,4.16333634234434e-17,0.0698396633885805,-0.0936361370302558,-4.16333634234434e-17,1.15777392091606,0.178712135653475,0.648430364925482
"hsa-let-7b-5p",-0.189156958456813,-0.50887504141171,1.56125112837913e-16,8.67361737988404e-17,0.111756435226321,-0.0253473101253116,0.306995278874553,-0.305993142408508,0.118196039988724,-0.3323004852115,-1.56125112837913e-16,-0.669538486949997,-0.540980015306948,-1.70002900645727e-16,1.49186218934005e-16,1.56125112837913e-16,-0.240501465610591,0.228262389088739,0.11905981478076,-0.592888438522351,0.0680935534164304,-0.262838654070295,-0.101973255736276,7.97972798949331e-17,7.18175519054398e-16,-0.00218079726768805,-0.0685729634499349,0.0654563507408501,0.068572963449935,-0.139069034107167,-0.342561694333712,-0.381513835502499,-1.28369537222284e-16,0.0273125988808468,-0.0664938132639615,-0.207065045901086,-0.44018814180098,0.245156014973163,0.162886767447215,-0.378705919130443,0.0713571623280828,0.305993142408508,6.59194920871187e-17,0.521531276194269,0.702087542798965,0.422220469618711,1.35308431126191e-16,0.0253473101253112,1.76941794549634e-16,-0.44172262575222,3.81639164714898e-17,0.669538486949997,7.97972798949331e-17,0.36330427801055,3.81639164714898e-17,0.291130214193088,0.22382693509856,0.342561694333712,0.00218079726768823,0.583217441433589,-0.260364917046746,1.6757428777936e-15,0.468168407295499,3.46944695195361e-18,-0.583217441433589,0.242492170226869,3.81639164714898e-17,0.584830755882552,-0.179648656644688,-0.0798381515884712
"hsa-let-7c-5p",0.0136352221298434,-0.893879734356904,2.61509564003504e-16,3.77302356024956e-17,0.0875446076218387,0.172741887632487,0.174868880982484,-0.0119282691775719,0.580308474946282,-0.0295104590322239,1.12323345069498e-16,-0.326017013949814,-0.502058907681996,4.77048955893622e-18,6.37510877421477e-17,5.85469173142172e-17,-0.0481096066519049,-0.184188244995912,-0.0398832446400013,-0.207302923210801,0.2141411084791,-0.357581211368235,-0.423530362314968,9.49761103097302e-17,7.29884902517242e-16,-0.246140273695955,-0.105667947236055,0.143712826109034,0.105667947236056,0.0805678148678401,0.0582547752285756,-0.00256463992492256,-1.75640751942652e-16,-0.168112422489679,-0.126759274330579,0.157567080544834,-0.482774564369635,0.11100710410995,0.0993560204600262,-0.468861038698085,-0.28511969779373,0.0119282691775718,-3.68628738645072e-17,0.492422621004532,0.338974239296799,0.505822143584963,-4.90059381963448e-17,-0.172741887632487,4.5926804026486e-16,-0.410828836303006,4.64038529823796e-17,0.326017013949813,-1.02782365951626e-16,0.443419206917363,-2.81892564846231e-17,0.409895140185124,-0.284903568574737,-0.0582547752285756,0.246140273695955,0.616661563525415,0.0718545970062068,-3.14418630020796e-16,0.390622230696866,-2.81892564846231e-17,-0.616661563525415,0.500522899538118,-9.2374025095765e-17,0.260047300791586,0.027980467569876,-0.188301250105349
"hsa-let-7d-3p",-0.608698818394724,-0.575234840342574,4.16333634234434e-17,-2.77555756156289e-17,0.634057595684453,-0.523270328988263,-0.810886962633139,-0.157925804001398,-0.0173452395599072,0.301482174312807,7.63278329429795e-16,-0.250717863091948,-1.00782707564963,2.63677968348475e-16,-6.93889390390723e-17,1.38777878078145e-17,0.153113659453157,0.141039197302172,0.33638742846378,-0.681267699997293,0.475604425223949,-0.262487979660065,0.199918960155457,-4.16333634234434e-17,1.26287869051112e-15,0.448886652916143,-0.483589973575801,0.0204775549735968,0.483589973575801,0.020656248815724,-0.406965860803538,-0.0622845126441007,-4.85722573273506e-16,-0.654713844500179,0.657773303179983,-0.497897573239848,-0.78453093729294,-0.118027548794197,-0.0271440503069024,-0.378054431403349,0.580006757659676,0.157925804001397,1.38777878078145e-17,0.101260942337616,0.217940566391226,0.263567563091243,1.80411241501588e-16,0.523270328988263,6.93889390390723e-17,-0.640553807787581,1.52655665885959e-16,0.250717863091948,-2.63677968348475e-16,0.038797383985325,0,0.408779858239267,0.166797323504204,0.406965860803538,-0.448886652916143,0.244132430699229,0.422613241396355,-2.63677968348475e-16,0.373951789895433,1.38777878078145e-17,-0.244132430699229,-0.261573833025388,-9.71445146547012e-17,1.06436415651291,0.358244300042546,0.451694724610932
"hsa-let-7d-5p",-0.132668190896865,-0.357987770290051,5.3776427755281e-17,-1.56125112837913e-17,0.22438351147923,0.0187908390673,0.0753280715882928,-0.046501418995459,-0.0149333654995819,-0.0951134145843478,8.15320033709099e-17,-0.0619112539418728,-0.316318644055509,1.21430643318376e-17,2.0643209364124e-16,1.37043154602168e-16,0.0661507103111133,0.0498403199595104,0.037197694762666,-0.306332047736477,0.181654083329119,-0.27932921809197,-0.204626145663344,-1.73472347597681e-18,5.3256010712488e-16,0.000718608552402951,-0.00466835524407825,0.00840578640143956,0.00466835524407827,-0.273412535334712,-0.175883069584382,-0.0785378244629992,-2.37657116208823e-16,0.0490290238554816,-0.141478781899407,-0.131200663448735,-0.213707032350746,0.0581663143143529,0.17032916555436,-0.248226184044912,-0.0301208152253165,0.0465014189954588,-8.67361737988404e-18,0.336452862961794,0.276573109862099,0.268415687962,-1.73472347597681e-18,-0.0187908390673,-2.25514051876985e-17,-0.395187606500811,-7.11236625150491e-17,0.0619112539418729,-7.80625564189563e-17,0.365150836204503,8.67361737988404e-17,0.337294336560208,0.0926193182322201,0.175883069584382,-0.000718608552402954,0.487542732682979,0.118614496638713,5.18682319317065e-16,0.16810990679105,-1.90819582357449e-17,-0.487542732682978,0.0433157155884419,-3.64291929955129e-17,0.507969615942298,-0.131747820337844,-0.0840725078752651
"hsa-let-7e-3p",0.197037556371382,0.571081686349526,-4.23272528138341e-16,-5.20417042793042e-17,0.185324876976838,-0.350851761223663,-0.0631411056436792,-0.440713894444203,0.309127566686714,0.3308058448238,-7.7715611723761e-16,-0.144521011147847,0.00558673517878339,-2.77555756156289e-17,2.91433543964104e-16,1.87350135405495e-16,0.056703353308053,0.434426383409152,-0.383311711296869,-0.592251201476554,0.337855131688711,0.0899244310829893,0.0897458716036421,-9.71445146547012e-17,-1.38777878078145e-17,0.786476143167165,-0.137274942125864,0.130040775096211,0.137274942125864,0.374757182767111,0.408469634784458,-0.383651258806605,-9.71445146547012e-17,-0.560082059743948,0.00643775233562613,-0.65774550332544,-0.784658642965062,-0.151118901743594,-0.963746423354264,-0.316777005041328,0.416607918709248,0.440713894444203,1.38777878078145e-17,0.175643282767305,0.458271176134799,0.0456003191072361,-1.11022302462516e-16,0.350851761223661,3.53883589099269e-16,-0.0206097558070153,-1.38777878078145e-17,0.144521011147847,2.42861286636753e-16,-0.440445106125072,-1.52655665885959e-16,-0.286783427975025,0.861465286295198,-0.408469634784458,-0.786476143167165,-0.895025918319441,-0.437661420327784,7.91033905045424e-16,-0.233030746650158,1.38777878078145e-17,0.895025918319442,-0.465528542493713,1.38777878078145e-17,0.385606645195358,0.760026640384506,0.518466396503921
"hsa-let-7e-5p",-0.134722769460982,-0.353055301022795,3.64291929955129e-17,1.73472347597681e-18,-0.110079951214564,0.0961638435627419,0.0757517822798734,-0.0460550218881372,-0.0413003788971297,0.409632406896404,-7.80625564189563e-17,0.159846038219766,-0.135051897754411,-5.03069808033274e-17,-8.67361737988404e-18,-2.25514051876985e-17,-0.0659774418946631,-0.0733327389296995,-0.268732464760011,-0.211628559744455,0.0650767885464994,-0.342850762368199,-0.598982309601537,-3.64291929955129e-17,1.92554305833426e-16,0.086883986113392,0.118324634078423,0.405458761836508,-0.118324634078423,-0.16435417518577,0.294040668683148,0.0300723372142281,-7.11236625150491e-17,0.274434126400335,-0.00977434038521024,-0.204633158959165,0.102078668339944,-0.0145634417993516,0.0129328562130456,-0.455972108583656,-0.0161913506509773,0.0460550218881374,6.07153216591882e-17,0.227819910395431,0.551835617038003,0.209580764788313,-1.6826817716975e-16,-0.0961638435627417,-1.56125112837913e-17,-0.719379459950309,-1.89084858881472e-16,-0.159846038219766,2.60208521396521e-17,0.445135813080098,-3.46944695195361e-18,0.733705079062518,-0.0535501658230982,-0.294040668683148,-0.0868839861133917,-0.119440021122346,0.167543842912305,-1.271552307891e-15,0.113402199020255,-1.21430643318376e-17,0.119440021122346,-0.245771018706592,3.29597460435593e-17,0.282072472925385,0.245250468569217,-0.131880099825788
"hsa-let-7f-1-3p",-0.431402356026859,0.503078129219469,-6.03683769639929e-16,0,0.208033252675317,-0.510231595761024,-1.05141012206144,0.131124065458803,-0.575788190170062,0.313181328742741,7.0082828429463e-16,0.0133814666436579,-0.822210335954804,6.24500451351651e-17,-2.70616862252382e-16,-1.04083408558608e-16,0.310988911178319,0.144764982549105,-0.105480015848654,-0.101062566941204,0.313977894115297,0.130296799119932,0.425011484894966,-1.04083408558608e-16,1.06165076729781e-15,0.887228822771227,-0.171611221015755,0.0702598706842114,0.171611221015755,0.0173325094750962,-0.663589028831981,0.0226520129926793,-5.20417042793042e-16,-0.225365762150414,0.740421210883125,-0.69108136909127,-0.387196634145385,-0.206985775774011,-0.260197251112382,-0.177251989025498,1.13176772459802,-0.131124065458804,3.46944695195361e-17,-1.03070515765681,0.0971945488025674,-0.0155851562698456,6.93889390390723e-18,0.510231595761023,-3.81639164714898e-16,-0.497270820725732,2.28983498828939e-16,-0.0133814666436578,-2.0122792321331e-16,-0.307561350089624,1.17961196366423e-16,0.0063908711318925,0.736478572066545,0.663589028831981,-0.887228822771227,-0.274783782205844,0.400076271923164,3.46944695195361e-17,-0.510144985942304,-6.93889390390723e-18,0.274783782205844,0.114336471890376,6.93889390390723e-18,0.832688025195517,0.214800048137107,0.662968918710861
