"5_S32","7_S29","8_S52","9_S69","10_S57","12_S37","16_S69","19_S58","21_S101","22_S84","23_S28","24_S38","25_S74","27_S49","28_S115","29_S90","30_S109","32_S134","34_S125","35_S124","37_S116","39_S41","43_S61","48_S70","49_S126","53_S94","55_S66","56_S138","57_S127","58_S71","59_S87","62_S128","64_S72","65_S91","66_S102","70_S96","71_S129","75_S140","77_S112","79_S46","81_S130","82_S22","84_S104","88_S62","89_S105","90_S119","91_S132","93_S107","95_S27","96_S75","266_S86","268_S73","270_S113","272_S64","276_S121","279_S114","280_S99","282_S133","284_S100","285_S63","286_S43","290_S95","292_S108","294_S122","297_S34","300_S50","307_S80","309_S141","310_S67","313_S65","317_S25","319_S40","321_S24","323_S54","326_S81","328_S60","330_S93","332_S82","334_S77","336_S148","338_S142","340_S143","343_S149","345_S144","347_S88","349_S78","351_S47","353_S151"
"Hamilton_scale_item_1",0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,3,3,3,2,3,3,3,2,1,2,3,3,1,3,4,1,3,3,2,1,3,3,1,3,3,3,3,4,3,3,2,2,3
"Hamilton_scale_item_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,0,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,0,3
"Hamilton_scale_item_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,2,3,3,4,4,1,1,2,1,2,0,4,0,0,4,0,2,2,3,2,1,3,0,2,0,1,2,3,3,0,0,1,1,3
"Hamilton_scale_item_4",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,1,0,0,2,1,2,0,0,2,2,0,2,2,2,1,0,0,0,2,2,2,2,2,1,1,2,1,2,2
"Hamilton_scale_item_5",0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,2,1,0,1,1,0,2,2,0,1,0,2,2,2,0,1,0,1,2,2,2,2,2,1,1,2,2,1,2,2
"Hamilton_scale_item_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,1,1,0,0,1,1,0,0,2,2,2,2,0,0,2,2,1,2,2,1,2,0,0,0,0,1,2,0
"Hamilton_scale_item_7",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,2,4,4,4,4,2,4,4,4,4,4,4,3,2,3,4,3,4,2,3,4,4,3,3,2,2,2,2,4,4,1,2,1,2
"Hamilton_scale_item_8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,0,0,2,1,1,2,2,2,2,0,1,1,0,2,0,0,1,0,2,0,2,0,0,1,2,3,2,2,2,3
"Hamilton_scale_item_9",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,2,0,1,1,1,0,0,1,0,2,0,0,0,0,3,2,1,0,3,2,0,2,1,0,0,0,0,0,0
"Hamilton_scale_item_10",0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,2,2,3,2,1,0,1,3,3,2,1,3,2,2,3,2,3,1,3,3,3,0,2,1,4,2,4,3,2,3,3,4,3,2,2,2
