"5_S32","7_S29","8_S52","9_S69","10_S57","12_S37","16_S69","19_S58","21_S101","22_S84","23_S28","24_S38","25_S74","27_S49","28_S115","29_S90","30_S109","32_S134","34_S125","35_S124","37_S116","39_S41","43_S61","48_S70","49_S126","53_S94","55_S66","56_S138","57_S127","58_S71","59_S87","62_S128","64_S72","65_S91","66_S102","70_S96","71_S129","75_S140","77_S112","79_S46","81_S130","82_S22","84_S104","88_S62","89_S105","90_S119","91_S132","93_S107","95_S27","96_S75","266_S86","268_S73","270_S113","272_S64","276_S121","279_S114","280_S99","282_S133","284_S100","285_S63","286_S43","290_S95","292_S108","294_S122","297_S34","300_S50","307_S80","309_S141","310_S67","313_S65","317_S25","319_S40","321_S24","323_S54","326_S81","328_S60","330_S93","332_S82","334_S77","336_S148","338_S142","340_S143","343_S149","345_S144","347_S88","349_S78","351_S47","353_S151"
"hsa.let.7a.3p",-0.934376650852668,0.723411458782734,0.567713137177264,-0.236322376381638,-0.00498328227667848,0.10427591460753,-0.288986905911459,-0.311465195283647,0.707519379622118,-0.311257851702724,0.284262772990668,-0.306701267501365,0.251312323871241,-0.36554466419929,0.67034546933111,-0.0646846870530197,0.13612731908975,0.749481980309297,-0.143054972641297,-0.0243518967996333,0.685902299636172,0.196398973732023,-0.734365635912875,-0.357551797692611,0.382507394823922,0.216540600880784,0.139176123600381,0.480305199024385,0.52467998726777,-0.818909369507096,0.096500492169221,-0.558693888262924,-0.459349285200053,0.686140476903773,-1.48998377075318,0.962330800447863,-0.022372568209808,-1.00811904160786,0.557146706948505,-0.329582128985878,-0.694597655539914,-0.758421660656387,0.383416197467336,0.345202534097874,0.422524289914414,0.235305674755845,-0.244206693869991,0.51185442423674,-0.0715583467296629,-0.499544031596173,0.231149217402555,-0.365599086253109,-0.162164332183692,-1.05123839425399,-0.345683071979374,0.540281651060987,0.140965197206056,-0.984104093830767,-0.593794672167024,0.830709548330547,-0.53490929580172,0.0414394971490833,-0.0530338543721722,0.270143071960382,-0.0436453920004502,0.155908254759114,-0.609052919299257,0.260003863774675,0.391761233714301,1.15742513964261,0.176627412603865,0.0963313513041324,0.493940816936193,-0.088191558787338,0.67129548931157,0.115789235767473,-0.518732852310894,-0.241602308149629,0.474943502386664,0.0744730894606455,-1.32207165614046,0.191578166042596,-0.0153975754217785,0.0854499282582858,-0.137120755400661,0.400642325319492,0.830763334533201,0.0772511054879226
"hsa.let.7a.5p",-0.0737416650207594,-0.454129212202869,-0.666445626510769,0.130650705170227,-0.0132532868232503,-0.0953046213690243,-0.224834727550992,-0.194452976440555,-0.661175836522002,0.241434277956334,0.128667034234984,-0.0365774746680595,-0.051070029668187,-0.0794110130973359,-0.115675093898407,0.544607442006192,-0.298796094240296,-0.42490148322645,0.437531423522489,0.0981560115176994,-0.351271397184361,0.194054649034261,0.461157745321892,0.320886425831419,-0.442375996851776,-0.434787311725364,0.0584363312934801,0.00238348030199959,-0.0221930617364092,0.226734410171562,-0.0093353930199921,0.0359680290538414,0.0369520740524757,0.126850309285615,-0.222418897596563,-0.152947718974588,-0.313910378434626,0.192191623852754,-0.184774807135602,0.478109123472462,0.10704242271243,-0.125295718950197,-0.225439908941276,-0.2883222250448,-0.0366487836364845,-0.452553501151565,0.12837203354175,-0.0453484974547134,0.22585290592922,0.13672484074016,0.0569170167536091,0.108962938264817,0.235092832756485,0.451424609304151,0.304840870464498,-0.154902141558887,0.699933789449037,0.118572623982915,0.518507931847846,0.0193954346261632,0.17226464873237,-0.00716378606314044,0.00362428814246794,-0.109547702705321,-0.00441593830488374,0.0297271366362058,0.283212053566843,0.174727243710791,-0.340065218904657,-0.629512013423963,0.0502422078928637,0.207502079803102,-0.000807255696490669,-0.244357841092414,-0.373426446624832,0.131713525785014,0.22102317686134,-0.037590376606133,0.284725639350147,-0.0665660646110502,0.180992296004541,-0.387932244997873,0.146552304640112,-0.121003589290571,0.0369358408057453,-0.00366659358864231,-0.302665556934277,0.126167874256113
"hsa.let.7b.3p",-0.483579166196164,-0.277369765565205,-0.420157206186715,-0.33750040847675,-0.262625162312964,0.257653210790471,-0.872047398446225,0.0437491052677833,0.0371499355881605,-0.697508851466775,0.427300666879697,0.0637135082252794,-0.337354428623466,-0.278249290243016,0.0339001174459243,-0.579507951825384,-0.0712475162966821,-0.0519810863766548,-0.351399471150017,0.594226457783412,0.178418959827852,-0.531217930114574,-0.826523724494131,0.16959168762919,1.12024175460947,0.112822009273934,-0.380476753246067,-0.450425107724585,-0.0346893341734429,-0.537194955614248,-0.56364991559784,-0.44081327534879,0.786647625790758,-0.445623577660674,0.732187611427316,0.304870310725954,0.610302910902864,0.575018680618945,-0.00191951536218002,0.504067861409596,0.0391143468691883,0.449160700530752,-0.253349071095118,0.029693504438414,-0.156423651380656,-0.311109945392313,0.531655488715956,0.0651067111034805,0.242378788709683,-0.542051334937979,0.222218399568263,-0.742770024502962,-0.00847103984833329,-1.07839753732079,0.266239273148977,0.254096190053903,0.224239121798967,-0.187788968958102,1.28194281569318,0.0468242587101528,-0.485798436929552,-0.0372184525258071,-0.302731284492604,0.620362554048932,0.873317831207195,0.299729498424435,-0.171050802978187,0.467840035863891,0.400152098717556,0.343875908914917,-0.148595904500666,0.25913652232442,0.307172751483824,-0.422602633630272,0.0809878639244734,0.692594852676054,-0.229506653308371,0.250131684288292,0.840668758717046,-0.66787489097491,-0.0744133538435231,-0.0204499052022347,-0.00413400142646594,-0.39780026372366,-0.55310990774469,0.38169484336991,0.266631924047168,-0.118103138544745
"hsa.let.7b.5p",-0.222567869272313,-0.806950060138034,-0.824166276222047,0.224533949591325,-0.112479614774195,-0.119738682802749,-0.205149638801011,-0.240747600596961,-0.937950587163517,0.221367450288342,-0.077658427575314,-0.131701143788781,-0.304137858365092,0.0110125979925195,-0.478955972492692,1.08802971764058,-0.632655509847849,-0.602645472582833,0.449486550073277,0.664122811822848,-0.263339024480092,0.159847749507065,0.622945929098175,0.410939836334633,-0.217160033745485,-1.09320390819978,-0.00977003106175559,-0.252984452605717,-0.263901907913541,0.315265540214218,-0.400434850004529,-0.0151513346819147,0.0435404903626989,0.00213938532740692,0.157743888806275,-0.24618140223896,-0.220137023385655,0.487262238852116,-0.612236976268104,0.223709653530636,0.103707184988154,-0.00291760451398877,-0.708746985320883,-0.339231996255711,-0.0939066566288255,-0.884345644026304,0.0130774210744427,-0.416810657721418,-0.19089145088698,0.320106393966817,-0.0369268856406458,0.121523741393832,0.14962455919642,0.607053444633742,0.41626827460773,-0.262121467127104,1.09980990991764,0.188715439366154,1.68032294151789,-0.102564668461102,0.0386608186793963,-0.167939968452357,0.0631851826200392,-0.321980638182874,0.234142401476507,-0.146424334843978,0.663951786859577,-0.296568480418545,-0.104215961767616,-0.760142305849422,-0.139111723100098,0.21479219614396,-0.232058538814754,-0.173568900159642,-0.202532941742422,0.799530618915128,0.991554857300947,0.759539104755762,0.84456460494215,-0.347460440350542,0.555058649617209,-0.565111937894893,0.170836058865407,-0.154754133212167,-0.280694878190106,0.372360705681483,-0.185891576454414,0.161126868832227
"hsa.let.7c.5p",-0.0614022090729494,-0.429726468874538,-0.798816839087965,0.412006177126648,0.20544523521074,0.101127487497126,0.194213711802762,-0.0709165056452684,-0.356638994386062,0.335326530295302,-0.0243396751050518,0.260133154924664,0.0935487519071159,-0.0194078032440445,-0.148216957043879,0.630058459789602,-0.479369159706683,-0.633115626247785,0.426456246426455,-0.00949984767055565,-0.430523089449124,0.7090376857696,0.865128532738807,0.104244748720739,-0.936667994113402,-1.07380670576394,0.136833090950026,0.0408449444954174,-0.0571553065455804,0.192850792085517,0.00169489188990855,-0.388643074182868,-0.334789042312682,0.428946981853358,-0.502809158323388,-0.274038730608902,-0.521334292264277,0.258914974700108,-0.0993953433980801,0.468921579643548,-0.154615221162123,-0.00942733129158598,-0.120861529023179,-0.0335617941775584,0.213724105419556,-0.732042416544836,-0.0879720628599391,0.0400094380261944,0.00197098932800252,0.249541504076356,0.235062883931926,0.279333518043842,0.417355554387045,0.529094846497088,0.210415256359972,-0.232786614309133,1.09671151498034,0.237730254476597,0.874398748643493,-0.0256575034936103,0.284366223872999,-0.12006122046178,-0.0695214676655679,-0.286716587263516,-0.14349989615578,-0.226890139526031,0.314986660342502,0.0697100591248483,-0.710647713116166,-0.813735121661689,0.136128028076395,0.135576913436829,-0.269404438795477,-0.429330756151784,-0.474475782250215,0.252643207814331,0.598739884030904,0.107125979629118,0.0555154532665747,-0.0448416167723504,0.500639955254677,-0.500109510737897,0.158098820596003,-0.130768567286078,0.212934115661156,-0.147949815219473,-0.56431685051845,0.136196837739191
"hsa.let.7d.3p",-0.433218724418815,-0.549908978568401,-0.48037762810178,-0.193031773365899,-0.138618403898352,0.100913363949546,-0.65224113837704,-0.0662319854258389,-0.644020831659102,-0.660837829651967,-0.409975361246393,0.294654631689151,-0.332647571515309,0.260064029783793,-0.0598557866807646,-0.0362775866580365,-0.277247959798103,0.276158412265001,-0.145574830324842,0.483966347381742,0.350226585250905,0.0938858189060809,-0.278954653567428,0.226081198255239,0.38519163849667,-0.211959032103487,-0.162047022302718,-0.366234954292011,0.188853990590715,-0.449486342432838,-0.248344839334267,-0.121736686507369,0.114218750663978,-0.398843045389633,0.531341453018894,-0.0795385461301824,0.191566353623699,0.48692906599583,-0.0864037568247732,0.333502422488608,0.0952507309474761,0.0586762344182973,-0.515737430643531,-0.0723136760241893,-0.157505275585709,-0.15151998906199,0.0602152637128062,-0.228598564912141,0.295130116977631,-0.266414129594494,-0.0602898694962916,-0.516962855627704,-0.356178019791896,-0.433405094649579,0.0156147281254749,-0.0521908961719897,0.335455183602689,0.0601117340292814,2.04582830261184,-0.342453890758925,0.04992206769228,-0.0821062141792304,-0.116696204777728,0.388403904857347,0.24467536384538,0.359493510268164,0.30371483702967,0.601510489263146,0.254697360085094,0.164495461261739,0.0604931415523498,0.192911275052067,0.276858045538839,-0.118912938886032,0.29205379923534,0.549046444644426,0.401811424022254,0.229462585928691,0.702841921173028,-0.399930317632815,0.124672499881483,-0.336079169921388,0.060472430853501,-0.42952646595098,-0.616083039990881,0.116581292367568,0.135317651284497,0.126802188677234
"hsa.let.7d.5p",-0.0734371693682886,-0.492047962900682,-0.59573503156726,0.169069064725108,-0.0582202445087957,-0.183784428424697,-0.305483920365304,-0.160602738666192,-0.589496118849034,0.243913194630792,0.0133127652599715,-0.0413668148536965,-0.00751028418892623,-0.117028541154467,-0.235326490923467,0.496800587469946,-0.398562578174799,-0.439220891990462,0.455517472576644,0.386361208025656,-0.053186617998382,0.135107477795187,0.364390029129091,0.218440071941004,-0.245297160601782,-0.477809357117656,-0.0692781365224549,-0.0722160972996094,0.0388343116093291,0.205339957832111,-0.0333208991179618,0.0492036769199474,0.106011183027346,0.0193155883572787,-0.130368899153446,-0.0902177853891566,-0.150209960230104,0.191480214305564,-0.306246764278095,0.273568398162726,0.0691743571393687,-0.185372945489301,-0.517566249175096,-0.251082294206833,-0.294389908549443,-0.378244784040848,-0.184889820471545,-0.195119325339193,0.0905823837875784,-0.00361166423340922,-0.102590310743306,0.181466218158307,0.0564715837207719,0.352692151655591,0.328783234195999,-0.215154444698125,0.834495225917023,0.140942748327759,1.03809426584773,-0.164366955637552,0.193694240175678,-0.132741430882705,-0.162038247862032,-0.152332839106626,0.00447390515268747,-0.0472223804776191,0.330726262223107,0.264165729593362,-0.293083886155269,-0.498659214151106,0.00301608221764768,0.303584587534111,-0.107049428510734,-0.137986189574688,-0.167004940867374,0.422220678335632,0.25671185763852,0.281146883475679,0.438625832231438,-0.11717937839897,0.276879913023652,-0.389514300007923,0.0962055986921931,-0.179326573113024,-0.0311232140257227,0.113426706100927,0.00944841647623218,0.138254430990819
"hsa.let.7e.3p",-0.169349228535658,-0.535672442007807,0.587554915395544,0.0197091392776455,-0.171577540392659,-0.5171227187403,-0.1083752892752,-0.0623591532536086,0.36231076312666,0.135293252239409,-0.0929882703992786,-0.263170511589848,-0.0466110759428886,-0.234129653043096,-0.0114049406528736,0.432354749152518,0.0290931743552392,-0.198348392147178,0.268313403673861,0.342766116264373,0.851214265305615,-0.777788650055599,-0.207460000918099,-0.766713117042119,0.748098923569658,0.248297979095506,0.920135234040046,-0.786683039553022,0.0266669396143064,-0.822603789255959,-0.0157935698303656,-0.177602194584867,0.123946487419416,-1.016541073707,0.274221429617872,0.435702381814524,0.197644955982569,-0.534983264647076,-0.537767529695562,-0.570741011609648,0.0136027296433113,0.362051965100537,-0.201857827795758,0.339549351954502,-0.303272146856844,0.348405119030371,0.0374029814340817,0.244527036471533,-1.03194136359205,0.194009722323936,-0.0300258710283214,-0.00595197013208641,-0.776235714419636,0.179853939853736,-0.162019280250467,0.866547067226032,-0.950056515472878,0.100028470254487,-0.100270465183345,-0.0639599017334753,0.0656224200768168,-0.40534180666541,-0.459173913561231,0.0895327849033795,0.311315209313033,0.237345323505809,-0.453249689749677,-0.122612278204903,1.4150194471515,0.101785378781384,0.445200794198269,-0.62548502755494,0.415203651165658,0.705042279821059,-0.0698041608104433,0.307388181212686,0.234294397695628,-0.537402989038196,0.766679257335343,1.18599434065893,-0.197242457970605,0.530279682765086,0.436408561809277,-0.213546949404728,-1.11749129098602,0.522522832527398,0.375133607492075,0.609246847688247
"hsa.let.7e.5p",-0.470146459620165,-0.202342831390601,-0.145489674182344,-0.0489880117812726,-0.661073528914195,-0.137817298451385,-0.482714225098553,0.100830979405477,0.0231645237797323,0.192213709060299,-0.0725695746954884,0.106950992624951,0.377005095110895,-0.159370693576791,0.0849454729850945,0.305395570778596,-0.0960059325630466,-0.301885352535139,-0.0890772776319969,-0.325387051866759,0.0547464414937279,0.165226656985292,0.115662067097989,0.385256591062754,-0.0818984477583806,-0.199007183245633,0.0250920699179283,0.0528517591599534,0.104338389608233,0.163942051589926,-0.256141702162324,0.192774862864786,0.298850654391314,-0.184524188280925,0.727590157256324,-0.415343003006931,-0.784333769062431,-0.498308541130598,-0.184373929610593,0.268712959273548,-0.108085366711102,0.154169250825129,0.0315820540968415,-0.0575965296522068,0.342244686333277,0.0831062443061621,-0.219462594796156,-0.377276445705133,0.272667235194691,-0.0960751518246841,-0.210932601511266,-0.0641460378188269,-0.259774798107191,0.159107982424699,0.322319568830663,0.978014499660155,0.432604543302534,0.210219597874033,0.0566211467974202,-0.179153799022354,0.413456868191526,-0.051530902513998,-0.135586167490165,-0.159801515589637,0.18860335308727,-0.237848997922861,0.246174892241909,0.462228245588802,0.741717905252189,-0.221622757650682,0.269003121313802,-0.241081046575825,0.112343395002998,-0.157613103195944,-0.165301287770065,0.0598113803716973,-0.242374930956305,-0.923048245802628,0.0455871413941347,0.563707069790703,0.172823900891281,-0.379364777914799,-0.318670962769994,0.106753760977175,-0.312457712861461,-0.0516311817322492,0.291797591291793,0.840551450047665
"hsa.let.7f.1.3p",-0.198862718186855,0.400061181912528,-0.223749745215752,-0.618212315438435,-0.440520774912099,-0.256646153548114,-0.600478696958753,-0.57205134481801,-0.918212795658863,0.168958820748897,0.146236827247695,-0.17842724639171,0.193276414648802,0.301792437096715,-0.0698251875873795,-0.46902679971493,-0.510339235571196,0.536633035215855,-0.293919922246696,0.951253773129395,0.640392070247133,0.375236590381742,-0.906116791364077,0.0772024859870453,1.33443468569111,-0.18986715123417,0.292862952307729,0.0586729043043065,0.449567650937277,-0.224067351927133,-0.429668137800216,0.136647577598386,0.10577383924387,-0.11461798394647,-0.163668253009442,1.31137427423496,0.155477879313481,-0.0281354991169076,0.370691555476112,-0.259725575132672,-0.0159851988030471,-0.479380290651105,0.241847363611418,-0.512200597152377,0.208263630305756,-0.431777599034111,0.356863198382582,0.102056104223814,-0.177546455821697,-0.864964232931508,0.408893645934277,-0.609395151143768,-0.149259088314671,-2.16647527506419,0.135045734172238,0.126383026781047,0.494779629992662,-0.724117047210869,-0.178602568277267,0.121659692747772,-0.130801726908438,-0.219819296253349,-0.574275784509046,0.341374905411262,0.451170129871434,0.322477765069299,-0.188796620084228,0.960291606916487,0.672876169667437,0.853870417357957,-0.0627253865224156,0.380347606030297,0.389891406751486,0.304325537692533,0.576477369480297,0.30122644769423,-0.480703314562812,0.600627330305672,0.4473863036127,-0.177832554903661,-0.336830959362185,0.027395650322027,-0.316352871585149,-0.493447438635756,-0.397104132123409,0.110216156377728,0.636402889606967,0.433319180911185
